date,Vietnam,Brazil,Indonesia
1/10/05,,358.5,
1/11/05,,370.25,
1/12/05,,363.25,
1/13/05,,356.667,
1/14/05,,369.375,
1/15/05,,,
1/16/05,,,
1/17/05,,371.25,
1/18/05,,380.5,
1/19/05,,384.125,
1/20/05,,387.333,
1/21/05,,376.5,
1/22/05,,,
1/23/05,,,
1/24/05,,370.5,
1/25/05,,365.5,
1/26/05,,362.667,
1/27/05,,362,
1/28/05,,362.5,
1/29/05,,,
1/30/05,,,
1/31/05,,362.333,
2/1/05,,357.875,
2/2/05,,361.125,
2/3/05,,358,
2/4/05,,349.6,
2/5/05,,,
2/6/05,,,
2/7/05,,336.75,
2/8/05,,334.625,
2/9/05,,335.333,
2/10/05,,332.375,
2/11/05,,330.5,
2/12/05,,,
2/13/05,,,
2/14/05,,327.5,
2/15/05,,326.625,
2/16/05,,327,
2/17/05,,321.75,
2/18/05,200,315.125,
2/19/05,,,
2/20/05,,,
2/21/05,200,322.25,
2/22/05,200,325.833,
2/23/05,200,328.2,
2/24/05,200,323.25,
2/25/05,200,321.375,
2/26/05,,,
2/27/05,,,
2/28/05,200,318.875,
3/1/05,200,318.667,
3/2/05,200,316.125,
3/3/05,200,313.5,
3/4/05,200,307.4,
3/5/05,,,
3/6/05,,,
3/7/05,200,297.375,
3/8/05,200,295.333,
3/9/05,200,302.125,
3/10/05,200,317.625,
3/11/05,200,318,
3/12/05,,,
3/13/05,,,
3/14/05,200,339.1,
3/15/05,200,347,
3/16/05,240,374.2,
3/17/05,185,376.7,
3/18/05,185,378.25,
3/19/05,,,
3/20/05,,,
3/21/05,185,386.875,
3/22/05,185,402.667,
3/23/05,185,421.6,
3/24/05,185,436.75,
3/25/05,185,438,
3/26/05,,,
3/27/05,,,
3/28/05,185,452.5,
3/29/05,185,449,
3/30/05,182.5,440.125,
3/31/05,180,433.2,
4/1/05,180,432.5,
4/2/05,,,
4/3/05,,,
4/4/05,180,444.75,
4/5/05,180,440.167,
4/6/05,180,425.7,
4/7/05,180,413.375,
4/8/05,180,411.3,
4/9/05,,,
4/10/05,,,
4/11/05,180,410.1,
4/12/05,180,405,
4/13/05,180,395.5,
4/14/05,180,413.75,
4/15/05,180,433,
4/16/05,,,
4/17/05,,,
4/18/05,180,439.125,
4/19/05,180,426.9,
4/20/05,180,416.75,
4/21/05,180,402,
4/22/05,180,397.667,
4/23/05,,,
4/24/05,,,
4/25/05,180,400,
4/26/05,180,400.333,
4/27/05,180,400.625,
4/28/05,185,408.75,
4/29/05,185,413.167,
4/30/05,,,
5/1/05,,,
5/2/05,185,406.5,
5/3/05,185,397,
5/4/05,185,374.167,
5/5/05,185,359.167,
5/6/05,185,359.833,
5/7/05,,,
5/8/05,,,
5/9/05,185,357,
5/10/05,185,365,
5/11/05,185,381,
5/12/05,175,373.667,
5/13/05,192,377.333,
5/14/05,,,
5/15/05,,,
5/16/05,185,397,
5/17/05,172.5,395.951,
5/18/05,168.75,388.375,
5/19/05,176.25,377.287,
5/20/05,177.5,381.375,
5/21/05,,,
5/22/05,,,
5/23/05,175,369.087,
5/24/05,166.25,368.805,
5/25/05,164.38,353.857,
5/26/05,160.83,346.031,
5/27/05,161.67,337.586,
5/28/05,,,
5/29/05,,,
5/30/05,,,
5/31/05,161.25,336.723,
6/1/05,167.5,342.69,
6/2/05,160,330.135,
6/3/05,161.25,337.542,
6/4/05,,,
6/5/05,,,
6/6/05,165,354.305,
6/7/05,167.25,366.874,
6/8/05,164.5,365.637,
6/9/05,138.75,366.4,
6/10/05,137.5,355.695,
6/11/05,,,
6/12/05,,,
6/13/05,137.5,349.448,
6/14/05,136.25,346.227,
6/15/05,137.5,342.559,
6/16/05,137.5,334.502,
6/17/05,137.5,332.383,
6/18/05,,,
6/19/05,,,
6/20/05,137.5,331.416,
6/21/05,137.5,330.936,
6/22/05,137.5,338.153,
6/23/05,137.5,339.118,
6/24/05,137.5,338.101,
6/25/05,,,
6/26/05,,,
6/27/05,136.83,341.138,
6/28/05,132.5,331.529,
6/29/05,133.5,330.644,
6/30/05,132.25,325.99,
7/1/05,130.5,317.547,
7/2/05,,,
7/3/05,,,
7/4/05,134.5,326,
7/5/05,132.5,330.017,
7/6/05,139,334.272,
7/7/05,137.5,333.099,
7/8/05,136.88,333.175,
7/9/05,,,
7/10/05,,,
7/11/05,135,330.699,
7/12/05,132.75,319.625,
7/13/05,132.5,319.051,
7/14/05,137.31,317.825,
7/15/05,133.5,321.618,
7/16/05,,,
7/17/05,,,
7/18/05,133.2,327.085,
7/19/05,134,330.568,
7/20/05,134,331.188,
7/21/05,132.5,329.155,
7/22/05,135,337.359,
7/23/05,,,
7/24/05,,,
7/25/05,134,349.15,
7/26/05,138.75,357.167,
7/27/05,136.25,350.123,
7/28/05,136.75,331.878,
7/29/05,137.5,329.823,
7/30/05,,,
7/31/05,,,
8/1/05,134.5,328.912,
8/2/05,135.5,324.409,
8/3/05,136.5,319.463,
8/4/05,135.6,310.234,
8/5/05,134.69,305.664,
8/6/05,,,
8/7/05,,,
8/8/05,135.5,317.917,
8/9/05,135.25,317.759,
8/10/05,135.38,309.519,
8/11/05,135.5,320.128,
8/12/05,137.5,332.411,
8/13/05,,,
8/14/05,,,
8/15/05,136.12,324.119,
8/16/05,135.25,329.41,
8/17/05,132.75,331.004,
8/18/05,133.12,334.931,
8/19/05,139.12,349.25,
8/20/05,,,
8/21/05,,,
8/22/05,134.69,340.173,
8/23/05,135,345.75,
8/24/05,133.34,356.92,
8/25/05,132.75,350.476,
8/26/05,132,351.597,
8/27/05,,,
8/28/05,,,
8/29/05,132,347.002,
8/30/05,130.25,345.465,
8/31/05,126.75,339.61,
9/1/05,125,337.9,
9/2/05,115,333.147,
9/3/05,,,
9/4/05,,,
9/5/05,114.16,333.5,
9/6/05,115,322.482,
9/7/05,117.91,321.653,
9/8/05,117.5,316.566,
9/9/05,118.25,313.591,
9/10/05,,,
9/11/05,,,
9/12/05,116.63,313.079,
9/13/05,114.16,316.937,
9/14/05,110.75,313.477,
9/15/05,113.33,304.475,
9/16/05,106.5,301.823,
9/17/05,,,
9/18/05,,,
9/19/05,106,288.204,
9/20/05,110,285.31,
9/21/05,108,273.462,
9/22/05,110,276.75,
9/23/05,107,273.446,275
9/24/05,,,
9/25/05,,,
9/26/05,108.5,257.497,240
